data\raw\images\s2_0261.tif,data\raw\masks\mask_0261.tif
data\raw\images\s2_0098.tif,data\raw\masks\mask_0098.tif
data\raw\images\s2_0165.tif,data\raw\masks\mask_0165.tif
data\raw\images\s2_0172.tif,data\raw\masks\mask_0172.tif
data\raw\images\s2_0258.tif,data\raw\masks\mask_0258.tif
data\raw\images\s2_0239.tif,data\raw\masks\mask_0239.tif
data\raw\images\s2_0199.tif,data\raw\masks\mask_0199.tif
data\raw\images\s2_0128.tif,data\raw\masks\mask_0128.tif
data\raw\images\s2_0269.tif,data\raw\masks\mask_0269.tif
data\raw\images\s2_0306.tif,data\raw\masks\mask_0306.tif
data\raw\images\s2_0201.tif,data\raw\masks\mask_0201.tif
data\raw\images\s2_0320.tif,data\raw\masks\mask_0320.tif
data\raw\images\s2_0039.tif,data\raw\masks\mask_0039.tif
data\raw\images\s2_0354.tif,data\raw\masks\mask_0354.tif
data\raw\images\s2_0364.tif,data\raw\masks\mask_0364.tif
data\raw\images\s2_0382.tif,data\raw\masks\mask_0382.tif
data\raw\images\s2_0045.tif,data\raw\masks\mask_0045.tif
data\raw\images\s2_0227.tif,data\raw\masks\mask_0227.tif
data\raw\images\s2_0103.tif,data\raw\masks\mask_0103.tif
data\raw\images\s2_0055.tif,data\raw\masks\mask_0055.tif
data\raw\images\s2_0284.tif,data\raw\masks\mask_0284.tif
data\raw\images\s2_0177.tif,data\raw\masks\mask_0177.tif
data\raw\images\s2_0263.tif,data\raw\masks\mask_0263.tif
data\raw\images\s2_0080.tif,data\raw\masks\mask_0080.tif
data\raw\images\s2_0009.tif,data\raw\masks\mask_0009.tif
data\raw\images\s2_0071.tif,data\raw\masks\mask_0071.tif
data\raw\images\s2_0207.tif,data\raw\masks\mask_0207.tif
data\raw\images\s2_0002.tif,data\raw\masks\mask_0002.tif
data\raw\images\s2_0385.tif,data\raw\masks\mask_0385.tif
data\raw\images\s2_0390.tif,data\raw\masks\mask_0390.tif
data\raw\images\s2_0271.tif,data\raw\masks\mask_0271.tif
data\raw\images\s2_0265.tif,data\raw\masks\mask_0265.tif
data\raw\images\s2_0256.tif,data\raw\masks\mask_0256.tif
data\raw\images\s2_0219.tif,data\raw\masks\mask_0219.tif
data\raw\images\s2_0057.tif,data\raw\masks\mask_0057.tif
data\raw\images\s2_0035.tif,data\raw\masks\mask_0035.tif
data\raw\images\s2_0371.tif,data\raw\masks\mask_0371.tif
data\raw\images\s2_0294.tif,data\raw\masks\mask_0294.tif
data\raw\images\s2_0061.tif,data\raw\masks\mask_0061.tif
data\raw\images\s2_0255.tif,data\raw\masks\mask_0255.tif
data\raw\images\s2_0405.tif,data\raw\masks\mask_0405.tif
data\raw\images\s2_0303.tif,data\raw\masks\mask_0303.tif
data\raw\images\s2_0241.tif,data\raw\masks\mask_0241.tif
data\raw\images\s2_0399.tif,data\raw\masks\mask_0399.tif
data\raw\images\s2_0030.tif,data\raw\masks\mask_0030.tif
data\raw\images\s2_0347.tif,data\raw\masks\mask_0347.tif
